@bionicsix1	univ
@phanerozoic11	univ
@pari_cious	univ
bohut	hi
achay	hi
ayay	hi
0	univ
Mixed	en
dabay	hi
Wala	hi
mix	en
n	en
maida	hi
0	univ
Apna	hi
hee	hi
koi	hi
taste	en
bana	hi
liya	hi
:)	univ
	
listening	en
to	en
Ishq	hi
Wala	hi
Love	en
(	univ
From	en
"	univ	G_X
Student	en	G_N
of	en	PSP
the	en	DT
Year	en	G_N
"	univ
)	univ
The	en
DJ	acro
Suketu	ne
Lounge	en
Mix	en
	
I	en
liked	en
a	en
@YouTube	univ
video	en
http://t.co/Y9edo1yfRN	univ
Don	en
-	univ
khaike	hi
paan	hi
banaras	hi
wala	hi
old	en
and	en
new	en
mix	en
	
IshQ	hi
waLa	hi
||	univ
~	univ
^ŁøVě^	univ
~	univ
||	univ
—	univ
listening	en
to	en
Ishq	hi
Wala	hi
Love	en
(	univ
From	en
"	univ	G_X
Student	en	G_N
of	en	PSP
the	en	DT
Year	en	G_N
"	univ
)	univ
The	en
DJ	acro
Suketu	ne
Lounge	en
Mix	en
	
@Tina32kaur	univ
it	en
is	en
indeed	en
,	univ
when	en
its	en
possible	en
play	en
a	en
lovely	en
bacha	hi
wala	hi
track	en
for	en
me	en
:)	univ
Am	en
having	en
serious	en
mix	en
emotions	en
these	en
days	en
0	univ
	
@SRKswarrior1	univ
Bhai	hi
Koi	hi
pehchan	hi
wala	hi
Jo	hi
...	univ
songs	en
compile	en
kr	hi
le	hi
kl	hi
sis	en
ka	hi
dance	en
competition	en
he	hi
....	univ
teeno	hi
mix	en
krne	hi
hein	hi
without	en
pause	en
	
Ye	hi
Veet	ne
ke	hi
0	univ
ad	en
0	univ
main	hi
wo	hi
ladki	hi
kitni	hi
gandhi	hi
aur	hi
over	en
acting	en
karti	hi
hai	hi
0	univ
Ye	hi
girl	en
models	en
ko	hi
itni	hi
Galatfahmi	hi
kyon	hi
hoti	hi
hai	hi
ki	hi
wo	hi
badi	hi
actress	en
hain	hi
	
Life	en
Ok	en
Dream	en
